,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
28,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn <strong>Programming</strong> In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Rating: 4.6 out of 5,48969 reviews,10.5 total hours,78 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
29,Python OOP - Object Oriented Programming for Beginners,"Learn Object Oriented <strong>Programming</strong> in Python with Step-by-Step Video Lectures, Projects, Exercises, Diagrams and More.",Rating: 4.6 out of 5,2320 reviews,18.5 total hours,283 lectures,Beginner,Estefania Cassingena Navone
30,"Java Multithreading, Concurrency & Performance Optimization","Become an expert in Multithreading, Concurrency & Parallel <strong>programming</strong> in Java, with strong emphasis on high performance",Rating: 4.6 out of 5,8362 reviews,4.5 total hours,34 lectures,All Levels,Michael Pogrebinsky | Software Architecture & Java Programming Expert
31,Python for Finance: Investment Fundamentals & Data Analytics,Learn Python <strong>Programming</strong> and Conduct Real-World Financial Analysis in Python - Complete Python Training,Rating: 4.6 out of 5,25486 reviews,9 total hours,133 lectures,All Levels,365 Careers
32,Advanced Python Programming: Build 10 OOP Applications,Master Python from the inside out and learn how to build any Python program with ease using Python classes and OOP!,Rating: 4.6 out of 5,2223 reviews,23.5 total hours,229 lectures,Intermediate,Ardit Sulce
33,Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,Rating: 4.6 out of 5,20538 reviews,45.5 total hours,368 lectures,All Levels,Todd McLeod
34,C Programming 360° Bootcamp: Zero to Hero,,Rating: 4.8 out of 5,42 reviews,13.5 total hours,118 lectures,All Levels,Electrovert Labs
35,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
36,Programming Practices for Software Engineers,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,All Levels,RougeNeuron Academy
37,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
38,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,4 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
39,Programming with Python - part1,,Rating: 0.0 out of 5,0 reviews,4.5 total hours,17 lectures,Beginner,Alison A
40,Go Programming Bootcamp,,Rating: 4.8 out of 5,80 reviews,15.5 total hours,81 lectures,All Levels,Derek Banas
41,C# Tutorial: Full Course For Beginners - Fundamentals of C#,,Rating: 0.0 out of 5,0 reviews,26.5 total hours,16 lectures,Beginner,Furkan Gözükara
42,Advanced C Programming Course,Become a True Master of the C <strong>Programming</strong> Language - Confidently Apply for Real Time or Embedded C Jobs or contracts!,Rating: 4.4 out of 5,3063 reviews,28 total hours,169 lectures,Intermediate,"Tim Buchalka's Learn Programming Academy, Jason Fedin"
43,Selenium Webdriver with PYTHON from Scratch + Frameworks,Version 4 LATEST - Learn Python <strong>Programming</strong> & Selenium Python Automation from Basics to Advanced level + 5 LIVE Project,Rating: 4.6 out of 5,12660 reviews,17 total hours,121 lectures,All Levels,Rahul Shetty
44,Neuro-Linguistic Programming (NLP) Practitioner Certificate,Gain an in-depth understanding of Neuro-Linguistic <strong>Programming</strong> (NLP) for personal growth and professional excellence.,Rating: 4.5 out of 5,23738 reviews,42 total hours,155 lectures,All Levels,"Kain Ramsay, The Academy of Modern Applied Psychology"
45,C++ programming step-by-step: From Beginner to Advanced,"Start with basics of C++ (v11 and v14) then master File I/O, Object Oriented <strong>Programming</strong> or OOP, STL, Functors, Lambda",Rating: 4.7 out of 5,1220 reviews,27.5 total hours,189 lectures,All Levels,Shibaji Paul
46,Dynamic programming,Learn how to solve almost any dynamic <strong>programming</strong> problem with both its approaches (memoization and tabulation),Rating: 4.4 out of 5,156 reviews,6 total hours,49 lectures,Intermediate,Inside Code
47,Python for Beginners: Learn Python Programming (Python 3),"Learn Python <strong>Programming</strong> the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",Rating: 4.5 out of 5,33849 reviews,3 total hours,78 lectures,All Levels,Jason Cannon
48,C++ Programming Essentials for Beginners,Beginner friendly course to learn C++ <strong>programming</strong> in a fun & easy way and enter the world of computer science!,Rating: 4.3 out of 5,627 reviews,19.5 total hours,192 lectures,All Levels,"Prateek Narang, Coding Minutes"
49,Learn Java Functional Programming with Lambdas & Streams,Learn Java Functional <strong>Programming</strong> with Lambdas & Streams. Learn the most powerful NEW feature in Java 8 and Java 9.,Rating: 4.6 out of 5,4791 reviews,4.5 total hours,44 lectures,All Levels,in28Minutes Official
50,Python for Absolute Beginners,Learn Python <strong>programming</strong> from scratch with hands-on exercises in this Python course!,Rating: 4.5 out of 5,24486 reviews,4.5 total hours,112 lectures,Beginner,Green Chameleon Learning
51,Data Structures and Algorithms:  Deep Dive Using Java,"Learn about Arrays,  Linked Lists, Trees,  Hashtables, Stacks,  Queues,  Heaps, Sort algorithms and Search algorithms",Rating: 4.5 out of 5,13773 reviews,16 total hours,116 lectures,Intermediate,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy"
52,Java SE 11 Developer 1Z0-819 OCP Course - Part 1,Getting Java Certified is great for your career.  Acquire the skills to pass the Oracle Java certification exam!,Rating: 4.5 out of 5,3168 reviews,12.5 total hours,132 lectures,Intermediate,"Tim Buchalka, Tim Buchalka's Learn Programming Academy"
53,Java In-Depth: Become a Complete Java Engineer!,"Comprehensive Java <strong>programming</strong> course integrated with design principles, best practices & instructor-led Java EE project",Rating: 4.4 out of 5,20713 reviews,68 total hours,377 lectures,All Levels,Dheeru Mundluru
54,Python Programming MADE EASY :Python Programming in Python 3,Beginners Python Coding. Data Science Python Coding. Data Analysis Python. Web Python. AI Python. Data Analytics Python.,Rating: 4.7 out of 5,6023 reviews,2 total hours,20 lectures,Beginner,Cher Hin Chong
55,Computer Science 101 - Computers & Programming for Beginners,"Understand the basic concepts behind Computers, Computer Science, <strong>Programming</strong> and <strong>Programming</strong> Languages",Rating: 4.4 out of 5,1131 reviews,1 total hour,36 lectures,Beginner,"Timothy Meixner, Johannes Ruof"
56,Python A-Z™: Python For Data Science With Real Exercises!,"<strong>Programming</strong> In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",Rating: 4.6 out of 5,25409 reviews,11 total hours,71 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
57,Complete C# Programming Course – Beginner to Expert,"Learn Professional C# Coding! 27 Hours of Content, 7 Hands-On Projects, 2 Unity 3D Games, 16 Coding Exercises, and more!",Rating: 4.4 out of 5,706 reviews,27 total hours,550 lectures,All Levels,Robert Gioia
58,Microcontroller Embedded C Programming: Absolute Beginners,Foundation course on Embedded C <strong>programming</strong>  using STM32 Microcontroller.,Rating: 4.5 out of 5,7418 reviews,16.5 total hours,194 lectures,Beginner,"FastBit Embedded Brain Academy, Kiran Nayak"
59,Networking Concepts with Socket Programming - Academic Level,Networking course with socket <strong>programming</strong> concepts in depth with TCP/UDP/HTTP Socket <strong>Programming</strong> for beginners to expert,Rating: 4.5 out of 5,648 reviews,23 total hours,198 lectures,All Levels,"Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta"
60,Python Network Programming Complete Masterclass,Learn Python 3 from scratch! Build 10 network applications using Python and upgrade your Network Engineering skills!,Rating: 4.7 out of 5,5053 reviews,16 total hours,271 lectures,Beginner,"Mihai Catalin Teodosiu, EpicPython Academy"
61,Advanced Scratch Programming for Kids,"Learn to code amazing games in Scratch! For advanced Scratchers: kids, parents and teachers",Rating: 4.8 out of 5,208 reviews,11 total hours,50 lectures,Intermediate,Daniel Ciocîrlan
62,C Programming 360° Bootcamp: Zero to Hero,,Rating: 4.8 out of 5,42 reviews,13.5 total hours,118 lectures,All Levels,Electrovert Labs
63,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
64,Programming Practices for Software Engineers,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,All Levels,RougeNeuron Academy
65,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
66,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,4 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
67,Programming with Python - part1,,Rating: 0.0 out of 5,0 reviews,4.5 total hours,17 lectures,Beginner,Alison A
68,Go Programming Bootcamp,,Rating: 4.8 out of 5,80 reviews,15.5 total hours,81 lectures,All Levels,Derek Banas
69,C# Tutorial: Full Course For Beginners - Fundamentals of C#,,Rating: 0.0 out of 5,0 reviews,26.5 total hours,16 lectures,Beginner,Furkan Gözükara
70,Java Reactive Programming [ From Scratch ],Java Asynchronous & Non Blocking <strong>programming</strong> With Reactor,Rating: 4.6 out of 5,1050 reviews,12 total hours,180 lectures,All Levels,Vinoth Selvaraj
71,Modern Java - Learn Java 8 features by coding it,"Learn Lambdas, Streams , new Date APIs, Optionals and Parallel <strong>programming</strong> in Java 8 by coding it.",Rating: 4.5 out of 5,7645 reviews,11 total hours,104 lectures,All Levels,Pragmatic Code School
72,Python OOP Course: Master Object-Oriented Programming,"Master Python OOP and Become a Better Python Programmer by Writing Modular, Readable, and Reusable Python OOP Code",Rating: 4.9 out of 5,185 reviews,5.5 total hours,38 lectures,All Levels,Karim Elghamrawy
73,Java for Absolute Beginners,"A course on Java for complete beginners to computer <strong>programming</strong>, for those who want concepts explained in plain English.",Rating: 4.7 out of 5,6218 reviews,8.5 total hours,121 lectures,Beginner,Nick H
74,Scala & Functional Programming Essentials | Rock the JVM,"Become a Scala programmer and get the skills you need to work with Spark, Akka, and any Scala framework!",Rating: 4.6 out of 5,12151 reviews,11.5 total hours,40 lectures,Intermediate,Daniel Ciocîrlan
75,Java Network Programming - TCP/IP Socket Programming,Learn how to write powerful network applications.,Rating: 4.3 out of 5,564 reviews,3.5 total hours,50 lectures,All Levels,Catalin Baba
76,Computational Physics: Scientific Programming with Python,"From numerical methods to exciting applications: Differential equations, eigenvalue problems, Monte Carlo methods & more",Rating: 4.7 out of 5,205 reviews,21 total hours,184 lectures,All Levels,Dr. Börge Göbel
77,Learn Advanced Python Programming,Make yourself a Pro in Python by making Python based Application,Rating: 4.6 out of 5,856 reviews,30.5 total hours,174 lectures,Intermediate,Khan School
78,SQL for Beginners: Learn SQL using MySQL and Database Design,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,Rating: 4.5 out of 5,40650 reviews,8 total hours,122 lectures,Beginner,"Tim Buchalka's Learn Programming Academy, Jean-Paul Roberts"
79,Reactive Programming in Modern Java using Project Reactor,Learn to write fast performing Asynchronous and NonBlocking code using the Reactive <strong>Programming</strong> principles and Reactor.,Rating: 4.6 out of 5,559 reviews,7 total hours,82 lectures,All Levels,Pragmatic Code School
80,Introduction to Programming,Professional Coding Skills for Beginners,Rating: 4.6 out of 5,1390 reviews,12 total hours,173 lectures,Beginner,"Dollar Design School, Mark Lassoff"
81,The Java Design Patterns Course,Understand the how and the why of the gang of four design patterns using Java.,Rating: 4.4 out of 5,974 reviews,24 total hours,157 lectures,Intermediate,"Tim Buchalka's Learn Programming Academy, Jason Fedin"
82,"Python Programming - Multithreading, OOP, NumPy and Pandas","Learn Python <strong>Programming</strong> Language - Basics, Multithreading, Parallel <strong>Programming</strong>, OOP and NumPy, Matplotlib and Pandas",Rating: 4.7 out of 5,295 reviews,13.5 total hours,197 lectures,All Levels,Holczer Balazs
83,Learn Python: The Complete Python Programming Course,"Learn A-Z everything about Python, from the basics, to advanced topics like Python GUI, Python Data Analysis, and more!",Rating: 4.3 out of 5,4418 reviews,14.5 total hours,146 lectures,All Levels,"Avinash Jain, The Codex"
84,Python Network Programming - TCP/IP Socket Programming,"Python Networking <strong>Programming</strong> is simple for beginners, powerful for the pros. Use it to create tools, sockets and more.",Rating: 4.3 out of 5,433 reviews,3.5 total hours,32 lectures,All Levels,Attreya Bhatt
85,Java Programming: Complete Beginner to Advanced,Become a Computer Programmer by Learning Core Java Skills,Rating: 4.4 out of 5,14134 reviews,7 total hours,48 lectures,All Levels,CodeIn Academy
86,Apache Spark 3 - Spark Programming in Python for Beginners,Data Engineering using Spark Structured API,Rating: 4.5 out of 5,4697 reviews,6.5 total hours,61 lectures,All Levels,"Prashant Kumar Pandey, Learning Journal"
87,Python Programming for Beginners and Kids - Anyone Can Code,"Beginners can learn Python <strong>programming</strong> by coding fun programs.  Learn Python 3 basics, 2D graphics, and create a game.",Rating: 4.6 out of 5,315 reviews,12 total hours,163 lectures,Beginner,Matt Bohn
88,Graph Theory Algorithms for Competitive Programming (2022),"Learn Graphs Algorithms in Computer Science & Mathematics, theory + hands-on coding and ace Competitive Coding problems!",Rating: 4.4 out of 5,580 reviews,23 total hours,118 lectures,All Levels,"Prateek Narang, Apaar Kamal, Coding Minutes"
89,Python Programming Complete Beginners Course Bootcamp 2023,2023 Complete Python Bootcamp || Python Beginners to advanced || Python Master Class || Mega Course,Rating: 4.6 out of 5,217 reviews,4.5 total hours,52 lectures,All Levels,Surendra Varma Pericherla
90,C Programming 360° Bootcamp: Zero to Hero,,Rating: 4.8 out of 5,42 reviews,13.5 total hours,118 lectures,All Levels,Electrovert Labs
91,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
92,Programming Practices for Software Engineers,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,All Levels,RougeNeuron Academy
93,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
94,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,4 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
95,Programming with Python - part1,,Rating: 0.0 out of 5,0 reviews,4.5 total hours,17 lectures,Beginner,Alison A
96,Go Programming Bootcamp,,Rating: 4.8 out of 5,80 reviews,15.5 total hours,81 lectures,All Levels,Derek Banas
97,C# Tutorial: Full Course For Beginners - Fundamentals of C#,,Rating: 0.0 out of 5,0 reviews,26.5 total hours,16 lectures,Beginner,Furkan Gözükara
98,Java Programming - A Complete Java course to Become Java Ace,Go from Beginner to Java Expert in Just 7 Days! Crack your next Java Coding Interview by Mastering in Java <strong>programming</strong>,Rating: 4.6 out of 5,1410 reviews,9 total hours,78 lectures,All Levels,Vinoth P
99,Advanced C Programming Masterclass: Pointers & Memory in C,"Advanced Concepts in C Language - Pointers Masterclass, Memory Addressing, Low-Level <strong>Programming</strong>, Embedded C Preparation",Rating: 4.5 out of 5,392 reviews,31 total hours,202 lectures,Intermediate,Vlad Budnitski
100,Learn to Code in Python 3: Programming beginner to advanced,"Python3 <strong>programming</strong> made easy with exercises, challenges and lots of real life examples. Learn to code today!",Rating: 4.4 out of 5,11779 reviews,5.5 total hours,45 lectures,Beginner,"Ivan Lourenço Gomes, Learn IT University, Andrii Piatakha"
101,Coding for Writers: Basic Programming,Learn to both code and write about code,Rating: 4.6 out of 5,886 reviews,2.5 total hours,35 lectures,Beginner,Peter Gruenbaum
102,Complete PYTHON Programming for Beginners - 2023,"The easiest way to learn Python in-depth and build complex, scalable programs!",Rating: 4.2 out of 5,2096 reviews,11 total hours,78 lectures,All Levels,Hemanth kumar
103,Programming with Python : HandsOn Introduction for Beginners,Eliminate roadblocks to learn <strong>programming</strong>: Start writing your own programs in Python 3 from scratch,Rating: 4.5 out of 5,11454 reviews,3.5 total hours,35 lectures,Beginner,Febin George
104,The Complete Python Programming Course: Beginner to Advanced,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",Rating: 4.1 out of 5,23335 reviews,18 total hours,147 lectures,All Levels,"Joseph Delgadillo, Nick Germaine"
105,R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",Rating: 4.6 out of 5,8272 reviews,6 total hours,53 lectures,Intermediate,"Kirill Eremenko, Ligency I Team, Ligency Team"
106,Object Oriented Programming with Python. Learn the basics.,"Learn how to organise your Python code with OO with the help of many examples. ""A great place to start learning OOP!""",Rating: 4.8 out of 5,299 reviews,2.5 total hours,22 lectures,Intermediate,Loek van den Ouweland
107,Python Developer | Complete course 2021,"Learn <strong>programming</strong> by starting from zero, and create powerful projects with Python : Web, Mobile, Games, Desktop",Rating: 4.7 out of 5,826 reviews,27.5 total hours,389 lectures,All Levels,Jonathan Roux | CodeWithJonathan | Python - Django - iOS - Android - Kivy
108,Data Science and Machine Learning Bootcamp with R,Learn how to use the R <strong>programming</strong> language for data science and machine learning and data visualization!,Rating: 4.6 out of 5,15674 reviews,18 total hours,128 lectures,All Levels,Jose Portilla
109,Python for Beginners - Go from Java to Python in 100 Steps,Learn Python <strong>Programming</strong> using Your Java Skills.  For Beginner Python Programmers.,Rating: 4.5 out of 5,1143 reviews,8 total hours,103 lectures,All Levels,in28Minutes Official
110,Learn Java Programming Crash Course,This Java For Beginners Course Includes Java Basics And Core Java Skills Training To Make You A Software Developer Fast,Rating: 4.6 out of 5,3462 reviews,12.5 total hours,148 lectures,Beginner,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy"
111,Learn C++ for Game Development,Learn the basics of C++ to prepare you for game development <strong>programming</strong>!,Rating: 4.7 out of 5,3180 reviews,12.5 total hours,70 lectures,All Levels,Stephen Ulibarri
112,Java Course for Complete Beginners with Practical Examples,Learn Java <strong>programming</strong> for absolute beginners through examples! Become a Java Developer and obtain core Java skills!,Rating: 4.6 out of 5,2947 reviews,25.5 total hours,235 lectures,Beginner,Sandor Szekeres
113,Learn Advanced C++ Programming,"Discover intermediate to advanced C++, including C++ 11's fantastic additions to the C++ standard.",Rating: 4.5 out of 5,7781 reviews,15 total hours,105 lectures,Intermediate,John Purcell
114,Python for Beginners - Learn Programming from scratch,Python For Beginners : This course is meant for absolute beginners in <strong>programming</strong> or in python.,Rating: 4.3 out of 5,2408 reviews,2.5 total hours,42 lectures,All Levels,"Edwin Diaz, Coding Faculty Solutions"
115,Core Java for Automation Testers- Coding made Easy,A step by step Practical tutorial to master in JAVA with tons of <strong>Programming</strong> examples and Interview Questions,Rating: 4.6 out of 5,4513 reviews,10 total hours,78 lectures,All Levels,Rahul Shetty
116,R Programming for Statistics and Data Science 2023,R <strong>Programming</strong> for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,Rating: 4.7 out of 5,4362 reviews,6.5 total hours,126 lectures,All Levels,"365 Careers, 365 Simona (The 365 Team)"
117,Full Stack Programming for Complete Beginners in Python,"<strong>Programming</strong> for complete beginners in python, along with pyqt5, mongoDB and software engineering basics",Rating: 4.2 out of 5,1588 reviews,9.5 total hours,81 lectures,Beginner,Abdul Rauf
118,C Programming 360° Bootcamp: Zero to Hero,,Rating: 4.8 out of 5,42 reviews,13.5 total hours,118 lectures,All Levels,Electrovert Labs
119,C Programming Language Hands-On-Lab Challenge,,Rating: 0.0 out of 5,0 reviews,22.5 total hours,140 lectures,All Levels,Atish Jain
120,Programming Practices for Software Engineers,,Rating: 0.0 out of 5,0 reviews,7 total hours,84 lectures,All Levels,RougeNeuron Academy
121,8086 Microprocessor - Architecture & Programming,,Rating: 5.0 out of 5,2 reviews,19 total hours,40 lectures,Intermediate,Dr. Yogesh Misra
122,The Guide to Computer Programming in Java,,Rating: 4.9 out of 5,4 reviews,7 total hours,48 lectures,All Levels,Alexandru Dincă
123,Programming with Python - part1,,Rating: 0.0 out of 5,0 reviews,4.5 total hours,17 lectures,Beginner,Alison A
124,Go Programming Bootcamp,,Rating: 4.8 out of 5,80 reviews,15.5 total hours,81 lectures,All Levels,Derek Banas
125,C# Tutorial: Full Course For Beginners - Fundamentals of C#,,Rating: 0.0 out of 5,0 reviews,26.5 total hours,16 lectures,Beginner,Furkan Gözükara
126,Advanced Scala and Functional Programming | Rock the JVM,"For Scala developers: become a top level Scala programmer so you can rock Spark, Akka, Cats or any Scala tool!",Rating: 4.6 out of 5,2837 reviews,13.5 total hours,51 lectures,Expert,Daniel Ciocîrlan
127,Bash Scripting and Shell Programming (Linux Command Line),"Learn bash <strong>programming</strong> for Linux, Unix, & Mac. Learn how to write bash scripts like a pro & solve real-world problems!",Rating: 4.4 out of 5,14144 reviews,2.5 total hours,34 lectures,All Levels,Jason Cannon
128,Python : Master Programming and Development with 15 Projects,"Learn complete Python with Basics, Data Science, Data Visualisation, Desktop Graphical Applications and Machine Learning",Rating: 4.1 out of 5,12981 reviews,32 total hours,378 lectures,All Levels,Dev Nirwal
129,Linux Inter Process Communication (IPC) from Scratch in C,"Linux Course - Includes Socket <strong>Programming</strong>, Linux System <strong>Programming</strong>, C <strong>programming</strong> - From Beginner to Expert",Rating: 4.5 out of 5,775 reviews,9 total hours,72 lectures,All Levels,"Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta"
130,Python Programming - From Basics to Advanced level [2022],This Python for beginners course will help you to become Zero to Hero. Learn Python <strong>Programming</strong> in Easy Way.,Rating: 4.3 out of 5,6370 reviews,8 total hours,41 lectures,All Levels,"EdYoda Digital University, Dipesh Sharma"
131,C and C++ Programming : Step-by-Step Tutorial,C <strong>Programming</strong> and C++ <strong>Programming</strong> Learn both at your own pace,Rating: 4.2 out of 5,480 reviews,12 total hours,142 lectures,Beginner,DoEdu IT Educations
